Subject,Problem Set,Priority,Time Required to Finish
Math42,39,High,29
Math42,35,Medium,34
Math42,61,Low,136
Math42,45,Medium,48
Math42,58,High,121
Math42,37,High,28
Math42,77,Medium,277
Math42,57,High,108
Math42,58,High,120
Math42,37,Low,49
Math42,75,High,261
Math42,63,High,141
Math42,58,High,126
Math42,55,Medium,104
Math42,30,Low,27
Math42,23,Low,0
Math42,83,High,321
Math42,58,Low,115
Math42,59,Low,127
Math42,54,High,92
Math42,41,Medium,53
Math42,59,Medium,132
Math42,71,Low,200
Math42,46,High,50
Math42,41,Low,28
Math42,43,Low,27
Math42,64,Medium,169
Math42,44,Low,56
Math42,59,Low,133
Math42,58,Low,117
Math42,36,High,21
Math42,63,Low,137
Math42,60,Low,124
Math42,87,High,402
Math42,35,Low,28
Math42,42,Medium,39
Math42,48,High,70
Math42,31,Medium,38
Math42,80,Medium,293
Math42,58,High,107
Math42,60,Medium,133
Math42,44,Medium,53
Math42,46,High,65
Math42,53,High,107
Math42,65,Low,159
Math42,40,High,32
Math42,68,Medium,175
Math42,48,Medium,65
Math42,54,Medium,83
Math42,32,Medium,19
Math42,56,High,93
Math42,56,Low,91
Math42,20,High,9
Math42,73,Low,226
Math42,51,High,92
Math42,46,High,50
Math42,44,Low,62
Math42,45,High,58
Math42,26,High,0
Math42,65,High,171
Math42,42,Low,39
Math42,70,High,239
Math42,49,High,66
Math42,77,Low,260
Math42,30,Medium,5
Math42,56,High,113
Math42,75,High,275
Math42,69,Low,182
Math42,43,Low,25
Math42,53,High,87
Math42,36,Low,10
Math42,18,Low,0
Math42,63,Medium,145
Math42,46,High,59
Math42,29,Medium,7
Math42,50,High,89
Math42,42,Low,51
Physics50,51,High,58
Physics50,49,High,45
Physics50,66,Low,115
Physics50,80,Medium,220
Physics50,52,Low,52
Physics50,57,Low,75
Physics50,66,Low,129
Physics50,38,Low,16
Physics50,55,High,90
Physics50,51,Medium,71
Physics50,71,Low,172
Physics50,50,Medium,65
Physics50,45,High,31
Physics50,22,Low,19
Physics50,15,Medium,0
Physics50,40,Low,7
Physics50,67,Low,133
Physics50,68,Medium,124
Physics50,92,Medium,347
Physics50,42,High,27
Physics50,60,Medium,101
Physics50,77,Medium,198
Physics50,42,Low,21
Physics50,84,Medium,268
Physics50,32,High,4
Physics50,55,High,70
Physics50,61,High,92
Physics50,46,Medium,57
Physics50,57,Low,73
Physics50,67,Medium,115
Physics50,53,Medium,70
Physics50,41,Medium,26
Physics50,45,Medium,54
Physics50,52,Medium,87
Physics50,71,Low,162
Physics50,49,High,49
Physics50,60,Low,102
Physics50,75,Low,189
Physics50,40,High,40
Physics50,63,Medium,122
Physics50,84,Medium,264
Physics50,79,Low,187
Physics50,65,Medium,95
Physics50,79,Medium,208
Physics50,43,Low,46
Physics50,49,High,52
Physics50,31,Low,24
Physics50,17,High,12
Physics50,40,High,6
Physics50,65,High,116
Physics50,50,Medium,68
Physics50,47,Medium,49
Physics50,58,Medium,93
Physics50,49,High,60
Physics50,41,High,38
Physics50,56,High,93
Physics50,17,High,0
Physics50,46,Medium,33
Physics50,58,Low,88
Physics50,64,High,126
Physics50,35,Medium,3
Physics50,54,High,67
Physics50,53,High,69
Physics50,79,High,197
Physics50,68,Medium,119
Physics50,49,Medium,63
Physics50,46,Low,38
Physics50,46,Medium,38
Physics50,43,Medium,22
Physics50,64,Low,114
Physics50,63,Low,119
Physics50,79,Low,186
Physics50,29,Low,5
Physics50,72,Medium,163
Physics50,59,High,110
Physics50,65,Low,119
Physics50,34,Low,13
Physics50,47,Low,41
Physics50,63,High,102
Physics50,57,Medium,71
Physics50,68,Medium,129
Physics50,76,Medium,202
Physics50,40,High,48
Physics50,63,High,106
Physics50,51,High,60
Physics50,48,Medium,65
Physics50,58,High,93
Physics50,79,Low,214
Physics50,63,Low,88
Physics50,42,Low,32
Physics50,50,High,60
Physics50,40,Medium,31
Physics50,44,High,51
Physics50,78,Medium,224
Physics50,55,Low,77
Physics50,40,Medium,7
Physics50,41,Medium,40
Physics50,57,Medium,79
Physics50,65,Low,130
Physics50,59,Low,86
Physics50,51,High,48
Physics50,77,High,216
Physics50,61,High,102
Physics50,68,Low,138
Physics50,78,High,222
Physics50,20,Low,8
Physics50,55,Medium,58
Physics50,82,Low,247
Physics50,48,Low,33
Physics50,31,High,25
Physics50,52,Low,61
Physics50,81,Medium,218
Physics50,16,Low,10
Physics50,66,Medium,130
Physics50,51,High,76
Physics50,30,High,0
Physics50,45,Low,62
Physics50,47,Medium,67
Physics50,52,Medium,58
Physics50,53,Medium,60
Physics50,45,Medium,37
Physics50,53,High,86
Physics50,53,Low,50
Physics50,76,High,194
Physics50,82,High,242
Physics50,49,Low,47
Physics50,52,High,74
Physics50,91,Low,327
Physics50,81,High,241
Physics50,54,High,48
Physics50,30,Low,11
Physics50,67,Medium,112
Physics50,45,High,33
Physics50,50,Low,57
Physics50,25,Low,0
Physics50,59,Medium,88
Physics50,69,Low,159
Physics50,37,Low,34
Physics50,87,Medium,277
Physics50,51,High,59
Physics50,96,High,388
Physics50,66,Medium,124
Physics50,63,Low,104
Physics50,39,Low,38
Physics50,59,Low,89
Physics50,64,Medium,102
Physics50,70,Medium,134
Physics50,57,Low,93
Physics50,41,Low,49
Physics50,90,Medium,316
Physics50,73,Low,165
Physics50,64,Medium,121
Physics50,55,Medium,75
Physics50,60,Low,89
Physics50,40,Medium,16
Physics50,79,Medium,197
Physics50,33,Low,14
Physics50,42,Medium,21
Physics50,65,Medium,105
Physics50,36,Low,13
Physics50,54,High,69
Physics50,33,High,32
Physics50,81,High,233
Physics50,66,Low,143
Physics50,36,Low,5
Physics50,57,Low,94
Physics50,55,High,72
Physics50,47,High,50
Physics50,48,High,38
Physics50,52,Medium,65
Physics50,42,High,23
Physics50,59,Low,81
Physics50,60,Low,102
Physics50,35,Medium,9
Physics50,83,High,235
Physics50,60,Medium,102
Physics50,52,Medium,57
Physics50,77,Medium,190
Physics50,61,Low,87
Physics50,43,High,31
Physics50,72,Low,176
Physics50,31,Medium,8
Physics50,57,Low,80
Physics50,28,High,10
Physics50,60,Medium,90
Physics50,52,High,60
Physics50,48,Low,62
Physics50,51,Medium,71
Physics50,52,Medium,53
Physics50,64,Low,123
Physics50,59,High,79
Physics50,71,High,147
Physics50,60,Medium,91
Physics50,45,Medium,29
Physics50,60,Low,94
Physics50,75,Low,198
Physics50,39,High,9
Physics50,28,Medium,6
Physics50,59,Low,82
Physics50,58,Medium,84
Physics50,60,High,78
Physics50,53,Low,86
Physics50,48,High,57
Physics50,63,Low,90
Physics50,56,Medium,57
Physics50,56,Medium,62
Physics50,71,Low,162
Physics50,47,High,45
Physics50,38,Low,37
Physics50,55,Low,73
Physics50,32,High,10
Physics50,44,High,44
Physics50,48,Low,52
Physics50,41,Low,39
Physics50,25,Medium,27
Physics50,90,Medium,324
Physics50,54,Low,70
Physics50,98,Medium,404
Physics50,76,Low,183
Physics50,55,Low,65
Physics50,66,High,129
Physics50,45,Medium,54
Physics50,8,Medium,0
Physics50,60,Medium,89
Physics50,38,High,17
Physics50,54,Low,65
Physics50,39,High,14
Physics50,27,High,2
Physics50,78,Low,216
Physics50,54,Medium,63
Physics50,39,Low,27
Physics50,31,Low,7
Physics50,57,High,67
Physics50,48,Medium,39
Physics50,84,Low,262
Physics50,55,Low,84
Physics50,76,Medium,194
Physics50,49,High,52
Physics50,66,Low,122
Physics50,47,High,52
Physics50,63,Low,109
Physics50,60,Low,93
Physics50,73,High,167
Physics50,47,Medium,37
Physics50,35,Low,36
Physics50,46,Medium,30
Physics50,25,Medium,4
Physics50,23,Low,10
Physics50,35,High,17
Physics50,64,High,131
Physics51,74,Medium,420
Physics51,54,High,420
Physics51,52,Medium,409
Physics51,64,High,420
Physics51,39,High,143
Physics51,49,Medium,329
Physics51,41,High,178
Physics51,31,Low,76
Physics51,57,Medium,420
Physics51,48,Low,302
Physics51,48,High,325
Physics51,51,Low,367
Physics51,57,Low,420
Physics51,67,Low,420
Physics51,89,Low,420
Physics51,57,Medium,420
Physics51,83,Medium,420
Physics51,39,Low,169
Physics51,87,Medium,420
Physics51,59,Medium,420
Physics51,77,High,420
Physics51,88,Low,420
Physics51,47,Low,290
Physics51,43,Low,223
Physics51,46,Low,270
Physics51,65,High,420
Physics51,51,Low,362
Physics51,75,Medium,420
Physics51,42,High,214
Physics51,67,High,420
Physics51,61,High,420
Physics51,70,Low,420
Physics51,79,Medium,420
Physics51,50,Low,335
Physics51,85,Medium,420
Physics51,38,Medium,159
Physics51,56,Low,420
Physics51,57,Medium,420
Physics51,40,Medium,175
Physics51,47,Medium,292
Physics51,62,High,420
Physics51,42,Medium,213
Physics51,50,High,352
Physics51,50,Low,342
Physics51,30,Medium,74
Physics51,68,Medium,420
Physics51,77,Low,420
Physics51,71,Low,420
Physics51,48,Low,290
Physics51,56,Medium,420
Physics51,51,Low,368
Physics51,76,High,420
Physics51,61,Low,420
Physics51,63,Low,420
Physics51,15,Low,0
Physics51,38,High,141
Physics51,54,Low,420
Physics51,67,Medium,420
Physics51,55,Low,420
Physics51,38,Medium,147
Physics51,46,High,256
Physics51,58,High,420
Physics51,77,High,420
Physics51,48,High,303
Physics51,35,Low,111
Physics51,64,High,420
Physics51,76,Medium,420
Physics51,28,High,72
Physics51,79,Medium,420
Physics51,61,High,420
Physics51,57,Low,420
Physics51,52,High,397
Physics51,48,High,302
Physics51,65,Medium,420
Physics51,64,Medium,420
Physics51,62,Medium,420
Physics51,29,High,82
Physics51,42,Low,192
Physics51,46,Low,272
Physics51,74,High,420
Physics51,59,Medium,420
Physics51,51,Medium,388
Physics51,39,Low,173
Physics51,56,High,420
Physics51,37,High,147
Physics51,72,Low,420
Physics51,54,High,420
Physics51,43,Medium,212
Physics51,75,High,420
Physics51,47,Low,273
Physics51,50,High,333
Physics51,61,Low,420
Physics51,69,Low,420
Physics51,67,Medium,420
Physics51,63,Medium,420
Physics51,61,Medium,420
Physics51,46,Low,257
Physics51,32,Medium,103
Physics51,55,High,420
Physics51,48,High,316
Physics51,65,Low,420
Physics51,31,High,70
Physics51,33,Low,107
Physics51,66,High,420
Physics51,58,Medium,420
Physics51,69,Low,420
Physics51,54,High,420
Physics51,36,High,106
Physics51,88,Medium,420
Physics51,70,Medium,420
Physics51,55,High,420
Physics51,49,Low,329
Physics51,51,High,359
Physics51,53,Medium,417
Physics51,32,Medium,86
Physics51,59,High,420
Physics51,59,Low,420
Physics51,35,Low,123
Physics51,51,Medium,356
Physics51,80,Medium,420
Physics51,42,Low,202
Physics51,75,Low,420
Physics51,45,High,250
Physics51,62,Medium,420
Physics51,76,High,420
Physics51,31,Medium,94
Physics51,45,High,254
Physics51,41,High,180
Physics51,51,High,378
Physics51,46,Low,262
Physics51,53,High,420
Physics51,57,High,420
Physics51,100,Low,420
Physics51,39,Medium,183
Physics51,61,Medium,420
Physics51,47,High,279
Physics51,60,High,420
Physics51,36,Medium,116
Physics51,54,High,420
Physics51,22,Low,40
Physics51,49,High,345
Physics51,71,Low,420
Physics51,34,Medium,118
Physics51,69,Low,420
Physics51,57,High,420
Physics51,69,Medium,420
Physics51,70,Low,420
Physics51,37,Low,126
Physics51,52,Low,392
Physics51,63,High,420
Physics51,62,Medium,420
Physics51,43,Low,201
Physics51,49,Medium,316
Physics51,77,High,420
Physics51,54,Low,420
Physics51,52,High,388
Physics51,45,Low,265
Physics51,70,High,420
Physics51,26,Low,59
Physics51,58,Medium,420
Physics51,32,Medium,89
Physics51,88,High,420
Physics51,75,High,420
Physics51,56,Medium,420
Physics51,55,Low,420
Physics51,40,High,190
Physics51,32,High,102
Physics51,99,Low,420
Physics51,30,High,74
Physics51,65,High,420
Physics51,51,Low,377
Physics51,61,High,420
Physics51,47,High,290
Physics51,45,Medium,247
Physics51,61,Medium,420
Physics51,65,High,420
Physics51,46,Low,276
Physics51,77,Medium,420
Physics51,57,High,420
Physics51,52,Low,394
Physics51,59,High,420
Physics51,50,Medium,333
Physics51,40,Low,200
Physics51,33,Medium,106
Physics51,60,High,420
Physics51,81,High,420
Physics51,86,Low,420
Physics51,63,Low,420
Physics51,58,Low,420
Physics51,43,Medium,220
Physics51,60,Medium,420
Physics51,77,Medium,420
Physics51,51,Medium,373
Physics51,26,Low,51
Physics51,23,Low,49
Physics51,38,High,159
Physics51,62,Low,420
Physics51,53,High,420
Physics51,47,High,276
Physics51,49,Medium,337
Physics51,54,Medium,420
Physics51,36,Low,129
Physics51,73,Medium,420
Physics51,73,Medium,420
Physics51,60,High,420
Physics51,60,Medium,420
Physics51,5,Low,16
Physics51,68,Low,420
Physics51,40,High,188
Physics51,54,Medium,420
Physics51,48,Medium,292
Physics51,33,Low,83
Physics51,57,High,420
Physics51,70,Low,420
Physics51,51,High,354
Physics51,66,Medium,420
Physics51,45,Low,265
Physics51,45,Low,253
Physics51,64,Low,420
Physics51,50,Medium,352
Physics51,51,High,350
Physics51,36,Medium,128
Physics51,30,Medium,74
Physics51,40,High,183
Physics51,78,Medium,420
Physics51,51,High,368
Physics51,59,Low,420
Physics51,65,Low,420
Physics51,28,Low,66
Physics51,54,Low,420
Physics51,44,Low,238
Physics51,53,High,417
Physics51,59,Low,420
Physics51,67,High,420
Physics51,49,High,319
Physics51,34,Medium,108
Physics51,55,High,420
Physics51,38,Medium,161
Physics51,49,High,315
Physics51,59,Low,420
Physics51,37,Low,143
Physics51,54,Medium,420
Physics51,77,High,420
Physics51,57,Low,420
Physics51,67,Medium,420
Physics51,82,High,420
Physics51,47,Medium,282
Physics51,61,Low,420
Physics51,60,High,420
Physics51,54,Medium,420
CS171,64,High,420
CS171,58,Medium,420
CS171,33,High,175
CS171,62,Low,420
CS171,54,Medium,420
CS171,77,Low,420
CS171,76,Medium,420
CS171,26,Medium,88
CS171,74,Low,420
CS171,42,High,355
CS171,50,High,420
CS171,67,Medium,420
CS171,62,Medium,420
CS171,38,Low,266
CS171,49,High,420
CS171,28,High,101
CS171,58,Medium,420
CS171,43,Medium,384
CS171,67,High,420
CS171,38,High,245
CS171,44,Medium,412
CS171,64,Medium,420
CS171,61,Low,420
CS171,46,High,420
CS171,48,High,420
CS171,58,Medium,420
CS171,57,Low,420
CS171,37,High,250
CS171,82,Medium,420
CS171,52,High,420
CS171,64,Low,420
CS171,35,Low,200
CS171,51,Medium,420
CS171,61,High,420
CS171,11,Medium,12
CS171,54,Medium,420
CS171,50,Medium,420
CS171,56,Low,420
CS171,45,High,420
CS171,69,High,420
CS171,32,High,169
CS171,66,High,420
CS171,47,High,420
CS171,41,Medium,336
CS171,7,High,4
CS171,47,Medium,420
CS171,61,High,420
CS171,34,Medium,189
CS171,34,Low,196
CS171,45,Medium,420
CS171,52,Medium,420
CS171,68,High,420
CS171,91,Medium,420
CS171,37,High,241
CS171,45,Medium,420
CS171,76,Medium,420
CS171,38,High,275
CS171,54,High,420
CS171,52,Medium,420
CS171,70,Medium,420
CS171,40,High,294
CS171,32,High,154
CS171,37,High,260
CS171,58,Medium,420
CS171,43,High,389
CS171,57,Medium,420
CS171,45,High,420
CS171,23,Low,59
CS171,65,High,420
CS171,67,High,420
CS171,67,Medium,420
CS171,50,Low,420
CS171,59,High,420
CS171,57,Low,420
CS171,80,High,420
CS171,50,Low,420
CS171,57,Low,420
CS171,56,Low,420
CS171,53,Medium,420
CS171,37,Medium,243
CS171,47,High,420
CS171,79,High,420
CS171,45,High,420
CS171,64,High,420
CS171,27,Medium,81
CS171,39,High,278
CS171,68,Medium,420
CS171,69,Medium,420
CS171,35,Low,207
CS171,51,Low,420
CS171,33,Medium,169
CS171,32,Medium,141
CS171,30,Low,135
CS171,71,Low,420
CS171,63,Low,420
CS171,57,High,420
CS171,57,High,420
CS171,31,High,140
CS171,38,High,253
CS171,32,Medium,161
CS171,73,High,420
CS171,58,Low,420
CS171,59,Medium,420
CS171,55,Medium,420
CS171,23,Medium,76
CS171,61,Low,420
CS171,48,Low,420
CS171,73,Low,420
CS171,55,High,420
CS171,28,Low,116
CS171,41,Medium,331
CS171,62,Medium,420
CS171,64,High,420
CS171,61,Medium,420
CS171,43,Medium,395
CS171,74,High,420
CS171,73,Low,420
CS171,49,Low,420
CS171,41,High,339
CS171,98,Medium,420
CS171,49,Low,420
CS171,81,Low,420
CS171,64,Low,420
CS171,32,Medium,159
CS171,45,High,420
CS171,77,Medium,420
CS171,79,Low,420
CS171,48,Low,420
CS171,47,Low,420
CS171,50,Medium,420
CS171,100,Low,420
CS171,53,Medium,420
CS171,64,Low,420
CS171,76,Low,420
CS171,72,High,420
CS171,53,Low,420
CS171,73,Medium,420
CS171,49,High,420
CS171,52,Medium,420
CS171,64,High,420
CS171,52,High,420
CS171,57,Medium,420
CS171,60,Medium,420
CS171,58,Low,420
CS171,37,Low,235
CS171,14,Medium,21
CS171,65,Medium,420
CS171,59,High,420
CS171,50,Medium,420
CS171,51,Medium,420
CS171,37,Low,250
CS171,43,Medium,386
CS171,36,High,225
CS171,55,High,420
CS171,65,Medium,420
CS171,23,High,59
CS171,24,High,66
CS171,44,Medium,404
CS171,42,Medium,346
CS171,81,High,420
CS171,48,High,420
CS171,79,Low,420
CS171,47,Medium,420
CS171,55,High,420
CS171,48,Low,420
CS171,51,Medium,420
CS171,68,Low,420
CS171,45,Low,420
CS171,40,Medium,312
CS171,63,Low,420
CS171,60,Low,420
CS171,32,High,150
CS171,19,Medium,27
CS171,63,Low,420
CS171,64,High,420
CS171,58,Low,420
CS171,67,Medium,420
CS171,57,Medium,420
CS171,82,Low,420
CS171,52,High,420
CS171,62,Medium,420
CS171,46,Medium,420
CS171,63,Medium,420
CS171,50,Medium,420
CS171,51,High,420
CS171,28,High,126
CS171,67,Medium,420
CS171,55,Medium,420
CS171,33,High,179
CS171,48,Low,420
CS171,42,High,359
CS171,65,Low,420
CS171,82,Low,420
CS171,34,High,196
CS171,38,Medium,254
CS171,59,Low,420
CS171,32,Medium,149
CS171,86,Low,420
CS171,58,Medium,420
CS171,35,High,205
CS171,49,Medium,420
CS171,69,High,420
CS171,56,Medium,420
CS171,33,Low,178
CS171,56,Medium,420
CS171,43,High,378
CS171,22,Medium,64
CS171,44,Low,398
CS171,62,Low,420
CS171,42,High,363
CS171,51,Medium,420
CS171,69,Medium,420
CS171,64,High,420
CS171,38,High,276
CS171,52,Low,420
CS171,49,High,420
CS171,55,Medium,420
CS171,44,High,404
CS171,71,High,420
CS171,64,Medium,420
CS171,45,Medium,412
CS171,57,Low,420
CS171,62,Low,420
CS171,51,Medium,420
CS171,32,High,152
CS171,36,High,210
CS171,71,Medium,420
CS171,31,Low,147
CS171,55,Medium,420
CS171,67,Medium,420
CS171,66,High,420
CS171,52,Low,420
CS171,59,High,420
CS171,58,Low,420
CS171,60,Medium,420
CS171,64,Medium,420
CS171,57,High,420
CS171,31,High,153
CS171,67,Low,420
CS171,55,High,420
CS171,47,Low,420
CS171,51,Low,420
CS171,41,High,334
CS171,66,High,420
CS171,60,Low,420
CS171,40,Medium,312
CS171,40,Low,311
CS171,47,Low,420
CS171,38,Medium,262
CS171,59,Low,420
CS155,65,Medium,420
CS155,38,Low,312
CS155,46,Low,420
CS155,35,Low,251
CS155,76,High,420
CS155,48,Low,420
CS155,62,Medium,420
CS155,58,High,420
CS155,38,Medium,318
CS155,68,Medium,420
CS155,44,Medium,420
CS155,49,Medium,420
CS155,59,Medium,420
CS155,76,High,420
CS155,26,Medium,102
CS155,55,High,420
CS155,48,Medium,420
CS155,52,Medium,420
CS155,40,Low,361
CS155,52,High,420
CS155,68,Medium,420
CS155,24,Low,79
CS155,34,Low,254
CS155,61,Low,420
CS155,67,Medium,420
CS155,55,Low,420
CS155,42,Medium,420
CS155,40,High,355
CS155,73,Medium,420
CS155,35,High,262
CS155,76,High,420
CS155,64,Medium,420
CS155,53,Low,420
CS155,43,High,420
CS155,25,Low,88
CS155,36,Medium,262
CS155,59,Low,420
CS155,59,Medium,420
CS155,53,High,420
CS155,92,Low,420
CS155,42,Medium,420
CS155,52,Low,420
CS155,53,Low,420
CS155,57,Medium,420
CS155,36,Medium,270
CS155,65,Low,420
CS155,30,High,164
CS155,48,Medium,420
CS155,37,Low,294
CS155,40,High,333
CS155,75,Low,420
CS155,59,Medium,420
CS155,44,Low,420
CS155,50,Medium,420
CS155,33,Medium,192
CS155,78,Low,420
CS155,43,High,420
CS155,56,Medium,420
CS155,48,Low,420
CS155,49,Low,420
CS155,51,Low,420
CS155,58,Low,420
CS155,46,Medium,420
CS155,64,High,420
CS155,54,Low,420
CS155,45,Medium,420
CS155,64,Medium,420
CS155,58,High,420
CS155,54,Low,420
CS155,56,Low,420
CS155,46,Medium,420
CS155,33,Low,214
CS155,50,High,420
CS155,39,Medium,328
CS155,34,High,237
CS155,52,Medium,420
CS155,66,High,420
CS155,64,High,420
CS155,59,High,420
CS155,30,Low,169
CS155,55,Medium,420
CS155,29,Low,150
CS155,29,High,155
CS155,40,Medium,351
CS155,59,High,420
CS155,59,High,420
CS155,42,Low,420
CS155,58,Low,420
CS155,52,High,420
CS155,50,High,420
CS155,53,Low,420
CS155,48,High,420
CS155,50,High,420
CS155,68,Medium,420
CS155,52,Low,420
CS155,11,Medium,13
CS155,41,Low,392
CS155,70,Low,420
CS155,52,Medium,420
CS155,71,Medium,420
CS155,75,High,420
CS155,40,Low,371
CS155,49,Low,420
CS155,53,High,420
CS155,52,Low,420
CS155,42,Low,420
CS155,42,Medium,420
CS155,70,High,420
CS155,47,Medium,420
CS155,69,Low,420
CS155,27,Medium,136
CS155,51,Low,420
CS155,56,High,420
CS155,71,Low,420
CS155,50,Low,420
CS155,52,Medium,420
CS155,37,Medium,303
CS155,59,High,420
CS155,47,Low,420
CS155,65,Low,420
CS155,39,Medium,323
CS155,61,Medium,420
CS155,45,Low,420
CS155,36,Medium,261
CS155,47,Medium,420
CS155,53,High,420
CS155,54,High,420
CS155,44,Low,420
CS155,46,Medium,420
CS155,67,High,420
CS155,58,High,420
CS155,44,Low,420
CS155,56,High,420
CS155,54,Medium,420
CS155,10,High,1
CS155,71,Low,420
CS155,41,Low,414
CS155,44,Medium,420
CS155,44,Medium,420
CS155,40,High,394
CS155,61,Medium,420
CS155,29,Low,144
CS155,60,High,420
CS155,74,High,420
CS155,70,High,420
CS155,58,Medium,420
CS155,58,Medium,420
CS155,33,Low,210
CS155,70,Medium,420
CS155,54,High,420
CS155,29,Low,132
CS155,30,Medium,148
CS155,38,High,318
CS155,39,High,354
CS155,55,Medium,420
CS155,67,Low,420
CS155,73,High,420
CS155,46,Low,420
CS155,20,High,50
CS155,55,High,420
CS155,63,High,420
CS155,60,Low,420
CS155,46,High,420
CS155,38,Medium,296
CS155,75,High,420
CS155,39,High,338
CS155,51,Low,420
CS155,48,High,420
CS155,59,Medium,420
CS155,67,Medium,420
CS155,53,Medium,420
CS155,51,High,420
CS155,44,High,420
CS155,52,Medium,420
CS155,47,High,420
CS155,44,High,420
CS155,52,Medium,420
CS155,32,Medium,192
CS155,54,Low,420
CS155,27,High,112
CS155,28,Low,125
CS155,63,High,420
CS155,36,High,274
CS155,64,Low,420
CS155,39,Low,328
CS155,58,Medium,420
CS155,47,Medium,420
CS155,70,Low,420
CS155,68,High,420
CS155,51,Medium,420
CS155,71,Medium,420
CS155,51,Medium,420
CS155,36,Medium,266
CS155,39,High,326
CS155,60,Low,420
CS155,60,Low,420
CS155,33,High,213
CS155,45,High,420
CS155,72,Medium,420
CS155,78,Medium,420
CS155,76,High,420
CS155,50,Medium,420
CS155,40,High,362
CS155,72,Low,420
CS155,26,Low,104
CS155,46,High,420
CS155,55,High,420
CS155,49,Low,420
CS155,51,Low,420
CS155,42,Low,420
CS155,40,Low,357
CS155,31,High,167
CS155,42,Low,420
CS155,83,Low,420
CS155,61,High,420
CS155,47,Medium,420
CS155,53,Low,420
CS155,31,Medium,187
CS155,66,High,420
CS155,64,Low,420
CS155,44,Low,420
CS155,56,Medium,420
